,Number of Television,"Number of Car, Jeep, Van",Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,All_Food_Expenses,Going_Out_Expenses,Shopping_Expenses,Necessary_Expenses,Miscellaneous_Expenses,total
907,0,0,0,36,54,1,1,8,3,Male,49,0,9.2919,17.6558,0.439,1.451,1.7768,0.342,21.6646
908,1,0,0,30,14,1,1,2,0,Male,61,0,11.3587,10.412,0.0992,0.2415,2.003,1.6294,14.3851
909,1,1,0,36,32,3,1,4,1,Male,36,0,35.0394,12.4208,0.4441,0.4515,4.4628,1.6852,19.4644
910,1,0,1,30,22,2,1,6,2,Male,42,0,12.4236,21.442,0.671,0.6902,5.7974,0.9946,29.5952
911,1,0,0,50,5,3,1,6,0,Male,55,1,10.3409,16.1272,0.9827,0.086,3.5451,1.289,22.03
912,1,0,0,36,21,2,1,2,0,Male,57,1,6.0429,5.6723,0,1.1287,1.536,1.201,9.538
913,1,0,0,24,15,1,1,2,1,Male,48,0,5.8073,7.0375,0.78,0.0973,1.7109,1.298,10.9237
914,1,0,0,26,5,1,1,4,1,Male,49,0,16.5293,13.9178,0.318,0.365,1.794,0.6144,17.0092
915,1,0,0,26,13,2,1,4,1,Female,66,0,8.8795,10.6678,0.332,0.536,2.8054,1.0276,15.3688
916,0,0,0,26,20,2,1,5,1,Female,33,0,5.6785,7.5395,0.3008,0.2274,1.977,1.2028,11.2475
917,1,0,0,38,5,3,1,5,1,Male,41,0,12.0109,13.499,0.543,0.5696,2.5015,1.0228,18.1359
918,1,0,0,58,5,3,1,7,4,Male,57,0,25.0708,15.4021,0.4924,0.7875,2.2816,0.5456,19.5092
919,0,0,0,46,8,0,0,6,1,Male,52,1,6.4268,8.3956,0.09,1.2198,1.6718,0.2324,11.6096
920,0,0,0,27,9,1,1,5,1,Male,50,1,7.0109,8.124,0.166,0.8895,1.0974,0.2774,10.5543
921,0,0,0,44,14,1,0,6,1,Male,37,0,11.7308,12.0087,0.351,1.3175,0.8496,0.4986,15.0254
922,0,0,0,35,2,2,1,7,1,Male,41,0,13.2435,22.7531,0.563,0.9825,2.0674,0.8462,27.2122
923,0,0,0,22,9,0,1,6,0,Male,46,1,3.943,7.6627,0.1035,0.2394,1.12,0.5188,9.6444
924,0,0,0,47,8,1,0,9,0,Male,47,1,5.6847,9.2472,0.426,1.166,1.143,0.5902,12.5724
925,0,0,0,36,8,1,1,3,1,Male,61,0,13.864,16.2785,0.62,0.8465,3.9518,1.2248,22.9216
926,1,0,0,45,25,3,1,4,1,Male,57,0,8.6347,14.4686,0.024,0.8648,1.3266,0.9186,17.6026
927,0,0,0,27,5,1,1,6,1,Male,41,1,7.321,10.4036,0.201,0.7749,0.7128,0.313,12.4053
928,0,0,0,20,6,1,1,7,1,Male,37,1,6.3205,8.6189,0.188,0.79,0.8991,0.2564,10.7524
929,1,0,0,45,10,2,1,3,1,Male,45,1,6.7172,8.5083,0.03,0.2147,0.9522,0.3534,10.0586
930,1,0,0,50,26,3,1,11,2,Male,74,1,12.503,15.2173,0.118,0.1444,2.3814,1.3668,19.2279
931,0,0,0,56,7,2,1,4,1,Male,67,1,7.3333,12.5692,0.536,0.2896,1.4996,0.4302,15.3246
932,1,0,0,51,9,3,1,4,1,Male,44,1,7.7379,12.7813,0.1747,0.2046,1.3136,0.6146,15.0888
933,1,0,0,43,4,3,1,7,1,Male,44,0,34.5612,27.9981,6.4828,0.516,3.1686,5.1076,43.2731
934,0,0,0,54,20,2,1,6,2,Female,63,1,8.7704,12.1368,0.2413,0.2166,2.4492,1.5778,16.6217
935,0,0,0,22,5,1,0,3,1,Female,59,1,4.4135,7.4911,0.036,0.2394,0.8646,0.0888,8.7199
936,0,0,0,64,4,1,0,6,1,Male,38,1,6.0399,10.7869,0.4297,0.1908,0.9552,0.6254,12.988
937,1,0,0,40,3,3,1,4,1,Male,60,0,17.3128,15.7642,0.045,0.4015,1.784,2.2198,20.2145
938,1,0,0,62,4,1,1,6,1,Male,36,1,9.2171,12.828,0.1942,0.116,1.1156,0.2952,14.549
939,1,0,0,40,3,2,1,4,2,Female,55,1,8.7817,11.6971,0.211,0.212,4.5782,0.4074,17.1057
940,1,0,0,48,8,2,1,5,1,Male,37,1,8.2639,12.4435,0.1693,0.6078,1.3946,0.1866,14.8018
941,1,0,1,75,8,3,1,6,1,Male,39,0,65.6099,33.262,0.6133,1.9905,20.635,4.077,60.5778
942,1,0,0,52,39,4,1,3,1,Female,64,0,12.6269,9.3584,0.024,0.684,1.708,0.9594,12.7338
943,0,0,0,40,6,1,1,6,1,Male,52,0,11.1535,15.5362,0.4538,0.3345,1.4784,0.4484,18.2513
944,1,0,0,26,10,1,1,7,2,Male,48,0,19.1681,16.6801,0.68,0.8888,4.6802,0.8898,23.8189
945,1,0,0,60,5,3,1,3,1,Male,53,0,38.8172,15.7833,0.3933,1.5605,6.104,4.1238,27.9649
