Number of Television,Number of Car,Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,Total Food Expenditure,Medical Care Expenditure,Education Expenditure,Housing and water Expenditure,Miscellaneous Goods and Services Expenditure
1,0,0,30,8,0,1,4,1,Male,30,1,10.4905,4.7168,0.1568,0.21,1.7862,0.2934
0,0,0,30,47,0,1,2,0,Male,31,1,6.3825,3.4183,0.016,0,1.2258,0.168
1,0,0,42,9,2,1,7,0,Male,35,0,12.009,8.4796,0.25,0.065,1.848,0.4356
0,0,0,40,21,1,1,4,1,Male,46,0,30.1873,4.8761,0.6075,0.015,3.9198,0.4014
1,0,0,49,50,2,1,4,0,Male,51,1,11.6643,6.0154,0.048,0,1.26,0.381
1,0,0,42,64,3,1,5,0,Male,67,0,18.363,7.702,0.36,0.035,2.4264,0.6234
1,0,0,42,38,3,1,8,1,Male,72,0,11.5855,6.5344,0.1269,0.01,1.7454,0.7674
1,0,0,56,21,2,1,5,0,Male,46,1,16.4342,7.5244,1.173,0.165,2.214,0.4554
1,0,0,40,53,1,1,9,4,Male,66,1,15.5626,9.2403,0.043,0.015,1.689,0.4872
1,0,0,42,21,1,1,1,1,Female,48,0,6.549,2.4028,0.09,0,0.912,0.2388
1,0,0,48,46,1,1,10,0,Male,65,1,12.5396,8.7336,0.0344,0.22,1.6806,0.7974
1,0,0,40,28,1,1,4,0,Female,53,1,14.5635,5.6417,0.915,0,1.4562,0.6996
1,0,0,54,14,3,1,7,0,Male,46,1,18.8475,9.6122,1.097,0.015,2.3886,0.5928
0,0,0,36,55,1,1,6,1,Male,50,1,10.742,7.8178,0.008,0.015,1.2,0.9522
0,0,0,36,53,1,1,4,1,Male,65,1,11.64,5.9311,0.2254,0.0035,1.59,0.4356
1,0,0,72,11,2,1,4,0,Male,67,0,16.4315,6.3163,0.005,0.3991,1.6284,0.4158
2,1,0,72,22,4,1,4,1,Male,60,0,49.101,8.7892,0.55,0.236,1.578,1.4574
0,0,0,35,10,2,1,6,1,Male,33,1,11.3905,6.1535,0,0,1.1376,0.1854
0,0,0,30,44,2,1,5,0,Female,78,1,6.2255,5.4527,0,0,1.08,0.1854
1,0,0,35,16,2,1,4,0,Female,49,1,9.8305,3.7688,0.005,0.025,1.212,0.3
1,0,0,35,13,4,1,7,1,Male,46,1,11.7793,4.6384,0,0.03,1.209,0.21
1,0,0,75,57,3,1,4,0,Male,60,0,32.9067,7.1267,0.193,0.48,1.605,0.5706
0,0,0,30,27,0,1,4,1,Male,70,1,14.858,4.021,0,0,1.0746,0.2286
1,0,0,70,25,2,1,3,2,Male,70,0,16.4046,4.1911,0.5244,0,1.0086,0.399
1,0,0,50,14,2,1,5,2,Male,51,0,31.261,6.1587,0.01,0,1.6668,1.548
1,0,0,45,16,3,1,2,0,Male,45,0,13.441,9.6729,0.105,0.015,1.4052,0.3888
1,0,0,54,5,2,1,5,1,Male,50,0,54.1874,7.2496,0.485,0,1.9578,4.7034
1,0,0,50,26,2,1,9,3,Male,53,1,12.5695,8.8944,0.045,0.26,1.2246,0.4638
0,0,0,35,50,0,1,3,1,Male,75,1,7.848,2.9889,0.005,0,0.924,0.216
1,0,0,45,8,4,1,7,1,Male,32,0,16.353,6.633,0.005,0.03,1.161,0.3786
1,0,0,40,6,3,1,4,0,Male,41,0,16.248,5.0381,0.4168,0.015,1.5492,0.3216
1,0,0,40,11,2,1,5,1,Male,39,0,15.1395,5.9989,0.085,0.4,1.4988,0.93
1,0,0,40,19,3,1,5,2,Male,48,0,9.5975,4.5212,0,0.56,1.2186,0.2802
1,0,0,25,78,0,1,4,1,Male,78,1,7.7275,3.4475,0,0,0.9594,0.2352
1,0,0,35,2,0,1,6,0,Male,31,0,9.637,5.4271,0.155,0.015,1.215,0.294
2,2,0,150,16,5,1,8,3,Male,81,0,105.1758,23.8375,2.891,0.14,6.774,6.6348
0,0,0,35,3,1,1,8,3,Male,52,0,14.365,10.2403,0.0215,0.127,1.0512,0.807
1,0,0,30,23,1,1,4,2,Male,43,0,21.1703,12.4068,0.0175,0.365,3.0132,1.5822
1,0,0,40,65,1,1,2,0,Male,54,0,10.129,7.744,0.012,1.55,1.4172,0.5946
2,0,0,45,26,2,1,5,1,Male,42,0,38.3617,12.4651,0.28,3.235,3.2508,3.6408
0,0,0,30,11,1,1,8,1,Male,68,0,11.9143,9.3994,0.036,0,1.0068,0.5976
1,0,0,30,12,1,1,6,1,Male,34,0,11.0848,8.4962,0.0148,0.07,1.104,0.7572
1,0,0,20,17,2,1,6,1,Male,51,0,13.1847,8.8115,0.046,0.18,1.2576,0.5394
1,0,0,40,6,1,1,2,0,Female,33,0,18.4738,6.795,2.172,0,3.363,1.0758
0,0,0,35,9,1,0,6,2,Male,45,0,11.514,8.5771,0.047,0.683,1.1436,0.8076
0,0,0,30,12,1,0,7,2,Male,42,0,12.069,10.2806,0.012,0.816,0.9048,0.5904
0,0,0,36,5,1,0,4,2,Male,33,1,7.9995,6.3149,0.015,0.145,0.9072,0.6354
1,0,0,30,6,1,1,3,0,Male,42,0,12.1986,7.6516,0.023,0.25,0.9708,0.948
1,0,0,42,27,2,1,4,1,Male,38,0,13.4555,7.6259,0.1545,0.315,2.52,0.5832
1,0,0,35,8,1,1,6,2,Male,47,0,17.7364,12.8061,0.2778,1.34,2.5638,0.9504
0,0,0,70,64,2,1,1,0,Female,75,0,4.1138,2.2189,0.013,0,0.7302,0.0528
0,0,0,30,20,2,1,5,2,Male,56,0,21.2782,12.7832,0.0738,0.037,1.2576,0.5838
1,0,0,40,4,2,1,8,3,Male,54,0,24.297,10.5256,0.024,0.041,1.9188,0.786
0,0,0,30,1,1,0,4,2,Male,32,0,8.1836,6.2503,0.017,0,1.0164,0.3804
0,0,0,35,5,1,0,6,4,Male,56,1,13.3045,9.1993,0.051,0.0239,1.2552,0.5736
1,0,0,40,6,2,1,2,1,Male,31,0,9.2955,6.2989,0.0165,0,3.2382,0.6006
1,0,0,392,8,4,1,3,1,Male,40,0,24.825,10.4484,0.0295,1.5185,6.396,0.5562
1,0,0,48,8,2,1,4,3,Male,53,1,13.5597,8.5763,0.0084,0,2.6466,0.7902
1,0,0,35,6,1,1,6,2,Female,46,0,14.1,10.4389,0.0163,0.14,1.524,0.7722
1,0,0,30,11,1,1,6,3,Male,39,1,13.2053,9.0846,0.0229,0.015,1.4322,0.5766
0,0,0,30,13,2,1,5,3,Male,54,0,17.3621,6.2063,0.015,0.01,1.2498,0.8328
0,0,0,25,16,1,0,2,2,Male,68,1,7.4843,3.6052,0.0158,0,0.8874,0.2982
1,0,0,35,5,2,1,2,0,Male,43,0,18.0521,7.1774,0.0047,0.13,2.1558,0.3738
1,0,0,40,6,3,1,7,2,Male,56,0,14.8243,9.8443,0.024,0,3.0078,1.5114
1,0,0,50,9,2,1,6,2,Male,48,0,21.1154,9.3387,0.011,0,2.22,0.6972
1,0,0,40,6,2,1,2,0,Male,78,0,26.9702,2.7529,0.0083,0,2.6496,16.4574
1,0,0,35,11,2,1,9,4,Male,59,0,22.2351,10.3206,0.012,0.06,2.6448,0.9204
1,0,0,40,8,2,1,1,0,Female,47,0,13.5602,4.7693,0.022,0,2.148,0.3612
1,0,0,50,10,1,1,6,1,Male,59,0,29.5225,11.22,1.3712,0.26,3.831,1.4688
1,0,0,120,12,2,1,4,1,Male,48,1,41.9138,6.5512,0.13,0.032,6.468,0.7512
1,0,0,50,34,3,1,4,0,Male,54,0,35.7946,10.462,0.0222,0,3.7836,0.8682
1,2,0,128,13,3,1,2,1,Male,56,0,53.384,11.1206,0.7197,0,5.544,2.2374
0,0,0,42,38,1,1,2,0,Male,62,1,10.7867,3.9359,0.0015,0,1.1532,0.2022
1,0,0,40,14,2,1,2,1,Male,58,1,10.4656,4.7992,1.296,0,1.5024,1.2456
1,1,0,52,25,4,1,2,0,Female,54,0,14.0329,6.0553,0.13,0,2.517,0.3336
0,0,0,35,31,2,1,3,3,Male,48,1,9.2719,5.4761,0.052,0,1.32,0.297
0,0,0,35,40,1,1,5,2,Male,65,0,14.4398,8.3332,0.931,0.115,1.3596,0.6642
0,0,0,40,61,1,1,5,0,Male,87,0,8.7069,6.2245,0.09,0,0.876,0.2532
0,0,0,35,7,1,1,4,2,Male,29,0,12.9628,15.354,0.0366,0.01,0.762,0.3768
1,0,0,52,18,1,1,4,1,Male,56,1,12.014,6.733,0.0715,0.02,1.5678,0.402
1,0,0,40,5,3,1,4,0,Female,47,0,43.8261,10.037,0.064,0.06,2.9292,1.0494
1,0,0,60,3,4,1,5,1,Male,39,0,38.3498,7.7175,0.1494,0.0575,3.4446,3.0114
1,0,0,40,2,0,1,13,7,Female,45,0,27.5729,12.6018,0.0221,0.035,1.38,0.5874
1,0,0,64,21,3,1,4,1,Male,45,0,11.7904,6.537,0,0.069,1.0722,0.2934
1,0,0,56,5,3,1,8,5,Male,59,0,21.3286,8.049,0.047,0,1.8228,0.4614
1,0,0,45,24,2,1,2,1,Male,72,1,10.8801,4.7437,0,0,1.6002,0.375
0,0,0,50,13,2,1,5,2,Male,54,1,16.6275,6.6602,0.006,0,1.8756,0.3054
